lat,lon,hour,ping_count
37.75,126.5,13,1434
37.75,126.5,18,1371
37.75,126.5,8,2061
37.75,126.5,9,1831
37.75,126.5,12,1446
37.75,126.5,5,1959
37.75,126.5,4,2463
37.75,126.5,2,1532
37.75,126.5,11,1684
37.75,126.5,10,1322
37.75,126.5,15,2051
37.75,126.5,14,2263
37.75,126.5,16,1872
37.75,126.5,1,1688
37.75,126.5,21,1287
37.75,126.5,22,1163
37.75,126.5,7,2167
37.75,126.5,20,1210
37.75,126.75,21,12411
37.75,126.75,22,9960
37.75,126.75,16,14994
37.75,126.75,11,8862
37.75,126.75,5,11865
37.75,126.75,18,8892
37.75,126.75,1,11231
37.75,126.75,0,15430
37.75,126.75,15,13919
37.75,126.75,14,10028
37.75,126.75,8,11220
37.75,126.75,6,11271
37.75,126.75,3,10689
37.75,126.75,17,11470
37.75,126.75,9,11013
37.75,126.75,7,12707
37.75,126.75,2,9728
37.75,126.75,12,8356
37.75,126.75,19,9096
37.75,126.75,13,8527
37.75,126.75,4,13628
37.75,126.75,10,8422
37.75,126.75,20,8716
37.75,126.75,23,14901
23.0,113.25,9,27911
23.0,113.25,20,18437
23.0,113.25,17,27159
23.0,113.25,0,26124
23.0,113.25,15,24854
23.0,113.25,1,28556
23.0,113.25,16,27839
23.0,113.25,22,14267
23.0,113.25,7,28103
23.0,113.25,23,18091
23.0,113.25,3,37333
23.0,113.25,13,26436
23.0,113.25,10,24810
23.0,113.25,4,30248
23.0,113.25,11,26161
23.0,113.25,18,27195
23.0,113.25,19,23757
23.0,113.25,8,28322
23.0,113.25,2,39396
23.0,113.25,14,26253
23.0,113.25,5,25692
23.0,113.25,12,25834
23.0,113.25,21,18631
23.0,113.25,6,23343
32.0,118.75,11,53
32.0,118.75,23,73
32.0,118.75,20,78
32.0,118.75,3,62
32.0,118.75,4,344
32.0,118.75,19,152
32.0,118.75,17,76
32.0,118.75,6,202
32.0,118.75,14,57
32.0,118.75,9,65
32.0,118.75,12,59
32.0,118.75,2,63
32.0,118.75,0,72
32.0,118.75,8,58
32.0,118.75,21,106
32.0,118.75,15,89
32.0,118.75,13,55
32.0,118.75,5,435
32.0,118.75,1,54
32.0,118.75,18,95
32.0,118.75,22,61
32.0,118.75,7,77
32.0,118.75,10,98
32.0,118.75,16,95
30.75,104.0,22,326
30.75,104.0,21,382
30.75,104.0,8,505
30.75,104.0,11,477
